Année;Pays;Consommation_charbon;Production_charbon;Variation_pct_consommation_charbon;Variation_pct_production_charbon;Demande_électricité;Production_électricité;Électricité_biocarburants;Électricité_charbon;Variation_pct_consommation_énergie;Variation_pct_consommation_fossile;Consommation_combustibles_fossiles;Électricité_fossile;Consommation_pétrole;Variation_pct_consommation_pétrole;Électricité_pétrole;Variation_pct_production_pétrole;Production_pétrole;Variation_pct_consommation_gaz;Variation_pct_production_gaz;Consommation_gaz;Production_gaz;Électricité_gaz;Variation_pct_production_gaz;Consommation_nucléaire;Électricité_nucléaire;Consommation_hydroélectrique;Consommation_renouvelables;Émissions_gaz_effet_de_serre;Population
2016;Russia;1037.977;2255.871;-3.116;4.095;1019.63;1034.13;0.42;161.65;2.044;1.717;7090.127;663.99;1845.685;1.839;10.34;2.557;6495.112;2.929;0.827;4206.464;5892.753;492.0;0.827;505.078;184.05;494.213;497.423;387.65;145109152.0
2017;Russia;976.106;2393.454;-5.961;6.099;1026.54;1037.14;0.49;164.82;0.606;0.508;7126.127;660.38;1839.015;-0.361;6.58;0.012;6495.898;2.485;7.855;4311.006;6355.609;488.98;7.855;518.774;190.12;492.772;496.759;386.24;145452544.0
2018;Russia;1007.856;2562.787;3.253;7.075;1034.99;1047.59;0.48;167.77;3.686;4.028;7413.197;672.83;1860.349;1.16;7.55;1.672;6604.501;5.428;5.278;4544.993;6691.058;497.51;5.278;519.396;181.76;504.375;509.159;393.57;145652288.0
2019;Russia;990.76;2563.601;-1.696;0.032;1045.15;1063.58;0.49;177.59;-0.753;-1.113;7330.662;670.79;1896.775;1.958;8.07;0.969;6668.512;-2.241;1.483;4443.127;6790.269;485.13;1.483;528.623;195.54;512.37;518.885;396.19;145742288.0
2005;Saudi Arabia;0.325;0.0;98.528;;191.05;191.05;0.0;0.0;6.382;6.382;1811.106;191.05;1134.001;5.163;83.12;4.838;6008.386;8.465;8.465;676.78;676.78;107.93;8.465;;;;;111.07;24397652.0
2006;Saudi Arabia;0.231;0.0;-29.136;;196.31;196.31;0.0;0.0;4.918;4.918;1900.17;196.31;1202.06;6.002;91.76;-1.488;5918.979;3.118;3.118;697.88;697.88;104.55;3.118;;;;;115.46;25382870.0
2007;Saudi Arabia;0.645;0.0;179.861;;204.43;204.43;0.0;0.0;2.31;2.31;1944.057;204.43;1236.422;2.859;101.72;-3.93;5686.37;1.305;1.305;706.99;706.99;102.71;1.305;;;;;121.53;26400066.0
2008;Saudi Arabia;0.746;0.0;15.692;;204.2;204.2;0.0;0.0;9.486;9.486;2128.462;204.2;1363.536;10.281;103.49;4.302;5931.0;8.089;8.089;764.18;764.18;100.71;8.089;;;;;121.79;27437352.0
2009;Saudi Arabia;0.273;0.0;-63.362;;217.31;217.31;0.0;0.0;3.602;3.602;2205.136;217.31;1459.588;7.044;123.22;-9.994;5338.254;-2.474;-2.474;745.275;745.275;94.09;-2.474;;;;;132.35;28483800.0
2010;Saudi Arabia;0.786;0.0;187.424;;240.06;240.06;0.0;0.0;11.154;11.154;2451.095;240.06;1617.539;10.822;139.16;0.935;5388.187;11.74;11.74;832.77;832.77;100.9;11.74;;;;;146.85;29411930.0
2011;Saudi Arabia;0.766;0.0;-2.591;;250.01;250.08;0.0;0.0;4.332;4.332;2557.276;250.07;1680.04;3.864;139.12;12.821;6079.007;5.248;5.248;876.47;876.47;110.95;5.248;;;;;151.75;30150952.0
2012;Saudi Arabia;0.898;0.0;17.253;;271.66;271.71;0.0;0.0;6.136;6.134;2714.14;271.68;1769.607;5.331;145.83;5.075;6387.493;7.663;7.663;943.635;943.635;125.85;7.663;;;;;163.75;30821554.0
2013;Saudi Arabia;1.149;0.0;27.984;;284.01;284.06;0.0;0.0;0.627;0.625;2731.104;284.02;1779.671;0.569;145.95;-1.969;6261.744;0.705;0.705;950.285;950.285;138.07;0.705;;;;;169.81;31482502.0
2014;Saudi Arabia;1.593;0.0;38.631;;311.81;311.86;0.0;0.0;7.341;7.341;2931.593;311.81;1957.39;9.986;168.78;1.005;6324.668;2.349;2.349;972.61;972.61;143.03;2.349;;;;;188.23;32125570.0
2015;Saudi Arabia;1.036;0.0;-34.934;;338.34;338.39;0.0;0.0;4.261;4.261;3056.502;338.34;2063.19;5.405;183.66;4.452;6606.238;2.022;2.022;992.275;992.275;154.68;2.022;;;;;204.35;32749838.0
2016;Saudi Arabia;0.855;0.0;-17.475;;336.71;337.43;0.0;0.0;4.031;4.031;3179.721;337.38;2125.696;3.03;170.4;3.288;6823.463;6.137;6.137;1053.17;1053.17;166.98;6.137;;;;;201.1;33416272.0
2017;Saudi Arabia;1.34;;56.617;;354.34;354.37;0.0;0.0;0.062;0.06;3181.633;354.3;2087.792;-1.783;165.76;-4.669;6504.885;3.735;3.735;1092.502;1092.502;188.54;3.735;;;;;208.41;34193120.0
2018;Saudi Arabia;1.114;;-16.803;;334.83;334.86;0.0;0.0;-2.519;-2.527;3101.243;334.7;1979.128;-5.205;134.67;3.128;6708.389;2.609;2.609;1121.0;1121.0;200.03;2.609;;;;;192.29;35018132.0
2019;Saudi Arabia;1.173;;5.211;;335.75;335.45;0.0;0.0;-4.139;-4.144;2972.727;335.24;1860.054;-6.017;129.21;-3.511;6472.84;-0.847;-0.847;1111.5;1111.5;206.03;-0.847;;;;;191.41;35827364.0
2005;South Africa;930.264;1609.39;-7.813;0.94;225.0;229.22;0.4;215.15;-5.346;-5.116;1263.038;215.23;298.219;0.177;0.0;-34.733;23.823;41.951;-8.374;34.555;20.173;0.08;-8.374;31.029;12.24;3.814;5.311;176.73;49017156.0
2006;South Africa;947.528;1607.892;1.856;-0.093;232.79;236.6;0.38;223.23;2.054;2.054;1288.987;223.25;304.012;1.943;0.0;-34.13;15.692;8.369;55.914;37.447;31.453;0.02;55.914;27.375;10.07;8.245;9.699;183.34;49491764.0
2007;South Africa;972.977;1609.144;2.686;0.078;243.66;246.81;0.41;231.74;2.725;2.494;1321.134;232.91;310.248;2.051;1.09;-18.991;12.712;1.234;-47.241;37.909;16.594;0.08;-47.241;30.707;12.6;8.103;10.352;191.09;49996096.0
2008;South Africa;1085.503;1639.577;11.565;1.891;237.13;240.73;0.43;226.11;7.158;7.403;1418.935;226.32;294.213;-5.168;0.13;-10.369;11.394;3.457;-11.111;39.219;14.75;0.08;-11.111;35.066;12.75;3.54;5.696;185.82;50565816.0
2009;South Africa;1091.169;1625.19;0.522;-0.877;229.84;231.6;0.42;218.11;-0.444;-0.421;1412.956;218.17;288.546;-1.926;0.05;-56.894;4.911;-15.246;-22.059;33.24;11.497;0.01;-22.059;34.318;11.57;4.054;5.939;179.16;51170780.0
2010;South Africa;1079.536;1675.924;-1.066;3.122;240.51;242.98;0.37;226.62;0.66;0.64;1422.004;227.57;301.247;4.402;0.19;-6.25;4.604;24.009;-8.491;41.221;10.52;0.76;-8.491;36.028;12.9;3.172;4.767;186.62;51784928.0
2011;South Africa;1052.656;1665.342;-2.49;-0.631;241.42;244.49;0.39;227.56;-1.22;-1.53;1400.246;229.06;304.78;1.173;0.67;6.667;4.911;3.855;31.959;42.809;13.883;0.83;31.959;34.154;12.94;8.452;10.558;187.78;52443320.0
2012;South Africa;1027.384;1704.554;-2.401;2.355;235.87;240.9;0.4;223.38;-1.54;-1.192;1383.55;226.84;312.593;2.563;1.8;-0.807;4.872;1.784;-14.063;43.573;11.93;1.66;-14.063;34.119;12.4;2.793;5.034;185.51;53145036.0
2013;South Africa;1027.612;1689.397;0.022;-0.889;234.01;238.51;0.45;217.07;0.443;0.197;1386.273;223.28;318.117;1.767;3.41;-4.398;4.658;-6.953;7.273;40.544;12.798;2.8;7.273;36.891;13.61;3.009;5.841;182.05;53873608.0
2014;South Africa;1040.72;1721.115;1.276;1.877;233.9;236.56;0.34;212.05;1.155;0.801;1397.379;218.42;313.677;-1.396;3.47;-7.553;4.306;6.015;-19.492;42.982;10.304;2.9;-19.492;35.859;14.76;4.863;12.273;178.07;54729556.0
2015;South Africa;976.488;1656.773;-6.172;-3.738;230.39;231.94;0.39;207.38;-1.999;-2.261;1365.778;214.88;346.104;10.338;3.76;0.0;4.306;0.475;15.789;43.186;11.93;3.74;15.789;31.622;10.97;1.966;19.212;174.9;55876504.0
2016;South Africa;1050.054;1670.44;7.534;0.825;230.0;235.99;0.31;209.1;4.497;3.857;1418.46;213.09;331.859;-4.116;3.99;-37.015;2.712;-15.375;-11.727;36.547;10.531;0.0;-11.727;38.6;15.21;1.67;23.262;174.7;56422272.0
2017;South Africa;1032.945;1659.066;-1.629;-0.681;231.27;237.9;0.37;212.74;-0.389;-0.981;1404.552;212.77;331.498;-0.109;0.03;0.0;;9.748;0.0;40.109;;0.0;0.0;36.246;15.09;2.065;33.772;175.0;56641208.0
2018;South Africa;980.26;1670.399;-5.1;0.683;232.33;237.03;0.41;214.13;-3.789;-3.518;1355.136;214.25;330.768;-0.22;0.12;0.0;;9.969;0.0;44.108;;0.0;0.0;29.4;10.56;2.918;34.168;176.19;57339632.0
2019;South Africa;1044.748;1672.676;6.579;0.136;229.39;234.56;0.41;207.16;4.452;4.338;1413.921;208.39;326.562;-1.272;1.23;0.0;;-3.392;0.0;42.612;;0.0;0.0;33.521;13.6;1.953;34.429;171.3;58087060.0
2005;South Korea;637.272;14.821;3.002;-11.25;364.38;364.38;0.24;140.39;3.388;2.12;2212.235;222.77;1257.238;0.509;22.14;;0.0;7.069;;317.726;5.703;60.24;;403.308;137.59;10.518;11.917;161.94;47889576.0
2006;South Korea;658.867;14.779;3.389;-0.282;379.64;379.64;0.23;144.32;1.641;1.816;2252.407;234.52;1258.553;0.105;20.01;;0.0;5.432;-10.896;334.986;5.082;70.19;-10.896;406.15;141.18;9.867;12.025;168.56;48049348.0
2007;South Korea;693.764;15.607;5.297;5.602;402.78;402.78;0.36;160.9;2.994;4.28;2348.815;261.76;1292.233;2.676;21.24;;0.0;8.308;-19.178;362.818;4.107;79.62;-19.178;387.842;136.6;10.269;13.871;187.63;48220600.0
2008;South Korea;768.741;14.996;10.807;-3.915;419.75;419.75;0.62;180.87;1.661;1.087;2374.351;271.1;1232.242;-4.642;13.05;;0.0;2.908;-38.701;373.368;2.518;77.18;-38.701;407.061;144.26;8.627;14.802;197.22;48398632.0
2009;South Korea;797.76;13.623;3.775;-9.16;426.91;426.91;0.51;197.14;0.55;1.061;2399.555;281.14;1246.88;1.188;17.2;;0.0;-4.942;130.463;354.915;5.802;66.8;130.463;396.007;141.12;7.856;16.029;208.34;48588024.0
2010;South Korea;897.159;11.27;12.46;-17.269;477.69;477.69;2.82;210.44;8.025;9.242;2621.323;327.56;1273.999;2.175;16.5;;0.0;26.837;7.988;450.165;6.266;100.62;7.988;395.775;141.89;10.22;20.114;235.91;48813036.0
2011;South Korea;973.284;11.27;8.485;0.0;500.35;500.35;5.68;213.68;4.632;4.705;2744.645;340.3;1286.906;1.013;14.81;;0.0;7.617;-16.144;484.455;5.254;111.81;-16.144;409.582;147.76;12.683;23.665;243.63;49169880.0
2012;South Korea;937.801;10.959;-3.646;-2.761;511.28;511.28;6.41;212.35;1.212;1.874;2796.073;354.97;1332.985;3.581;18.98;;0.0;8.428;-3.684;525.286;5.061;123.64;-3.684;395.534;143.55;10.883;24.814;251.36;49634188.0
2013;South Korea;948.357;9.499;1.126;-13.324;517.21;517.21;7.17;213.17;0.373;1.325;2833.132;370.13;1335.017;0.152;19.13;;0.0;4.659;6.18;549.758;5.373;137.83;6.18;362.962;132.46;11.69;32.313;259.18;50098228.0
2014;South Korea;981.557;9.148;3.501;-3.691;524.59;524.59;10.76;217.06;0.875;-0.768;2811.387;357.75;1329.79;-0.392;13.15;;0.0;-9.044;-30.505;500.04;3.734;127.54;-30.505;406.601;149.17;7.454;38.667;254.17;50558044.0
2015;South Korea;993.216;9.232;1.188;0.915;524.7;524.7;11.4;219.85;1.762;1.142;2843.49;348.3;1393.777;4.812;12.16;;0.0;-8.708;-41.615;456.497;2.18;116.29;-41.615;425.773;157.16;5.778;44.779;250.55;50994396.0
2016;South Korea;947.837;9.033;-4.569;-2.154;536.03;536.03;11.36;220.13;2.972;3.527;2943.789;360.46;1519.515;9.021;16.42;;0.0;4.368;-18.085;476.437;1.786;123.91;-18.085;416.145;154.2;7.62;52.604;257.53;51309984.0
2017;South Korea;1002.235;8.169;5.739;-9.565;541.06;541.06;13.44;237.66;1.0;2.058;3004.366;373.8;1504.568;-0.984;9.42;;;4.434;0.0;497.564;;126.72;0.0;379.047;141.28;7.475;63.251;268.8;51511640.0
2018;South Korea;1007.749;6.601;0.55;-19.192;562.28;562.28;13.93;240.49;1.698;2.7;3085.488;405.79;1499.699;-0.324;10.13;;;16.174;0.0;578.04;;155.17;0.0;338.947;127.08;8.888;80.754;285.61;51676900.0
2019;South Korea;955.366;5.963;-5.198;-9.667;554.4;554.4;13.02;229.62;-1.133;-2.683;3002.699;383.8;1486.995;-0.847;7.48;;;-3.062;0.0;560.338;;146.7;0.0;369.074;138.68;7.351;93.703;270.8;51803832.0
2005;Spain;238.566;77.06;-2.546;-4.276;283.12;284.46;2.65;79.06;0.685;3.872;1500.008;184.65;914.422;0.862;26.58;-48.565;1.914;18.562;-53.352;347.02;1.868;79.01;-53.352;158.101;57.54;51.175;123.338;124.12;43685372.0
2006;Spain;208.27;72.606;-12.699;-5.78;291.98;295.26;2.77;66.74;1.446;-0.538;1491.931;182.98;920.487;0.663;25.67;-3.189;1.853;4.655;-56.328;363.174;0.816;90.57;-56.328;164.17;60.13;73.668;151.099;119.33;44422824.0
2007;Spain;233.03;68.21;11.889;-6.055;295.78;301.53;2.9;72.8;2.193;2.545;1529.9;188.13;927.297;0.74;20.53;-8.234;1.701;1.762;-75.342;369.573;0.201;94.8;-75.342;149.515;55.1;77.005;167.411;122.83;45245784.0
2008;Spain;157.052;50.87;-32.605;-25.422;299.63;310.67;3.26;48.71;-2.762;-4.691;1458.139;189.55;895.166;-3.465;20.04;-2.692;1.655;9.835;-9.932;405.922;0.181;120.8;-9.932;159.022;58.97;66.126;178.654;115.66;45966544.0
2009;Spain;109.671;44.312;-30.169;-12.89;283.43;291.53;3.49;35.91;-7.295;-9.98;1312.613;164.69;839.865;-6.178;21.03;-12.602;1.446;-10.555;-11.965;363.077;0.16;107.75;-11.965;141.394;52.76;73.595;210.799;99.74;46367772.0
2010;Spain;80.212;38.329;-26.861;-13.502;289.82;298.15;4.01;25.33;2.708;-4.047;1259.497;138.39;817.32;-2.684;18.21;10.074;1.592;-0.306;261.442;361.965;0.577;94.85;261.442;164.103;61.99;116.673;286.282;83.52;46572776.0
2011;Spain;148.759;30.799;85.457;-19.648;285.28;291.37;4.61;43.98;-1.886;0.454;1265.217;146.12;779.997;-4.567;16.63;-15.761;1.341;-7.046;1.976;336.461;0.588;85.51;1.976;152.825;57.72;84.404;259.587;93.0;46729232.0
2012;Spain;180.172;28.613;21.116;-7.097;282.57;293.77;4.98;55.07;-0.555;-1.875;1241.496;145.33;729.068;-6.529;16.95;38.938;1.863;-1.25;13.901;332.256;0.67;73.31;13.901;161.737;61.47;56.333;265.093;96.44;46756084.0
2013;Spain;132.547;20.498;-26.433;-28.361;274.72;281.47;5.8;39.94;-5.001;-9.697;1121.107;113.32;685.279;-6.006;15.84;143.676;4.54;-8.721;-2.059;303.281;0.656;57.54;-2.059;148.369;56.73;100.241;315.414;76.16;46603460.0
2014;Spain;135.362;18.932;2.123;-7.637;271.53;274.94;5.41;43.81;-1.851;-2.41;1094.091;107.37;683.491;-0.261;16.29;-14.824;3.867;-9.246;-58.973;275.239;0.269;47.27;-58.973;148.972;57.31;106.113;312.488;74.58;46464548.0
2015;Spain;159.173;14.49;17.591;-23.467;277.35;277.48;5.76;51.37;1.248;5.214;1151.134;123.19;706.523;3.37;19.32;-25.559;2.879;3.705;160.229;285.438;0.7;52.5;160.229;148.086;57.2;75.78;275.743;85.27;46431344.0
2016;Spain;122.07;7.976;-23.31;-44.952;278.86;271.19;5.69;36.43;0.953;-0.663;1143.498;107.93;730.212;3.353;18.67;-42.521;1.655;2.024;-12.903;291.216;0.61;52.83;-12.903;150.585;58.63;97.406;295.892;72.9;46473320.0
2017;Spain;156.41;13.117;28.131;64.445;282.07;272.9;6.08;45.13;1.141;5.599;1207.517;126.93;733.986;0.517;17.76;0.0;;8.896;0.0;317.121;;64.04;0.0;148.404;58.04;48.76;252.19;84.59;46584168.0
2018;Spain;134.022;10.268;-14.314;-21.718;282.98;271.88;5.91;37.34;1.801;-0.867;1197.051;112.23;748.057;1.917;16.89;0.0;;-0.678;0.0;314.973;;58.0;0.0;141.58;55.77;90.838;298.448;74.88;46792044.0
2019;Spain;58.984;0.685;-55.989;-93.33;277.75;270.89;5.57;12.86;-2.791;-2.472;1167.457;111.55;748.729;0.09;14.98;0.0;;14.215;0.0;359.745;;83.71;0.0;147.41;58.35;59.273;276.517;65.96;47131372.0
2005;Turkey;257.686;130.419;0.321;6.473;160.39;161.55;0.03;42.2;2.254;4.947;882.937;121.81;368.018;-1.275;6.13;2.666;27.942;21.517;30.378;257.232;9.552;73.48;30.378;;0.0;113.278;113.815;75.86;68704712.0
2006;Turkey;304.334;153.051;18.103;17.353;174.51;176.17;0.06;45.61;10.944;10.87;978.912;131.65;382.608;3.964;5.35;-3.463;26.974;13.505;0.892;291.97;9.637;80.69;0.892;;0.0;125.893;126.921;81.75;69601328.0
2007;Turkey;342.666;172.089;12.596;12.439;189.85;191.41;0.09;52.33;6.197;9.418;1071.11;154.95;389.536;1.811;7.59;-2.742;26.235;16.076;-1.326;338.907;9.51;95.03;-1.326;;0.0;101.372;103.246;95.67;70468864.0
2008;Turkey;344.201;193.919;0.448;12.685;197.98;198.31;0.14;56.38;0.34;0.961;1081.406;163.89;384.222;-1.364;8.83;1.697;26.68;4.153;13.997;352.982;10.841;98.68;13.997;;0.0;93.49;96.938;101.61;71320728.0
2009;Turkey;359.344;202.385;4.399;4.366;194.0;194.73;0.25;54.23;1.351;0.575;1087.622;156.58;391.056;1.779;6.25;10.808;29.563;-4.465;-32.743;337.222;7.291;96.1;-32.743;;0.0;100.421;106.646;96.9;72225648.0
2010;Turkey;365.624;203.804;1.748;0.701;210.29;211.06;0.33;53.37;5.489;1.602;1105.042;155.34;381.208;-2.518;3.83;4.612;30.927;6.224;-0.348;358.21;7.266;98.14;-0.348;;0.0;143.762;154.778;95.91;73195352.0
2011;Turkey;394.01;207.816;7.764;1.969;230.19;229.28;0.34;64.59;6.838;7.275;1185.431;171.19;373.021;-2.148;2.55;-5.379;29.263;16.803;11.33;418.399;8.089;104.05;11.33;;0.0;144.384;160.539;107.14;74173856.0
2012;Turkey;424.437;197.908;7.722;-4.768;242.25;239.38;0.59;66.33;6.198;5.409;1249.552;174.17;391.923;5.067;3.34;-1.875;28.715;3.536;-16.745;433.192;6.734;104.5;-16.745;;0.0;158.662;179.84;109.56;75277440.0
2013;Turkey;367.092;179.699;-13.511;-9.201;246.07;239.87;0.88;61.92;-0.718;-1.897;1225.852;170.65;419.095;6.933;3.61;3.04;29.588;1.494;-14.992;439.665;5.725;105.12;-14.992;;0.0;161.946;193.28;106.57;76576120.0
2014;Turkey;420.145;190.255;14.452;5.875;256.88;251.62;1.08;74.29;3.031;7.493;1317.706;199.0;431.095;2.863;4.13;3.087;30.501;6.096;-10.852;466.465;5.104;120.58;-10.852;;0.0;110.11;144.442;124.3;78112064.0
2015;Turkey;404.026;148.798;-3.837;-21.791;265.23;261.29;1.24;74.18;9.889;4.729;1380.02;177.64;516.403;19.789;4.24;1.759;31.037;-1.474;-20.555;459.59;4.055;99.22;-20.555;;0.0;180.822;226.722;114.59;79646176.0
2016;Turkey;447.26;179.797;10.701;20.834;278.57;273.69;1.63;90.39;5.006;4.473;1441.746;183.45;549.439;6.397;3.83;2.316;31.756;-3.165;-3.675;445.046;3.906;89.23;-3.675;;0.0;179.98;245.434;122.9;81019400.0
2017;Turkey;458.912;175.455;2.605;-2.415;295.85;296.43;2.1;95.38;5.94;7.56;1550.744;209.19;576.151;4.862;3.32;0.0;;15.871;0.0;515.681;;110.49;0.0;;0.0;154.936;236.658;137.12;82089824.0
2018;Turkey;475.22;192.445;3.554;9.683;303.23;303.86;2.65;111.36;-1.108;-3.046;1503.501;206.09;555.955;-3.505;2.25;0.0;;-8.407;0.0;472.325;;92.48;0.0;;0.0;158.581;264.095;141.14;82809304.0
2019;Turkey;487.526;201.773;2.59;4.847;302.21;302.79;3.51;111.17;3.776;-1.603;1479.405;170.53;558.265;0.415;2.07;0.0;;-8.196;0.0;433.613;;57.29;0.0;;0.0;234.134;354.944;124.64;83481688.0
2005;United Kingdom;440.463;140.469;1.84;-18.468;403.74;395.42;9.1;134.64;0.828;0.418;2436.895;296.87;1002.566;2.894;9.59;-11.17;985.307;-2.551;-8.497;993.866;923.39;152.64;-8.497;224.264;81.62;14.096;52.324;195.12;60383740.0
2006;United Kingdom;480.989;126.151;9.201;-10.193;400.96;393.44;9.28;148.85;-1.275;-0.856;2416.033;299.88;992.442;-1.01;10.2;-9.612;890.6;-5.158;-9.303;942.602;837.484;140.83;-9.303;206.013;75.45;13.07;56.832;201.41;60803700.0
2007;United Kingdom;452.891;118.181;-5.842;-6.318;398.19;392.98;9.33;135.95;-2.772;-1.884;2370.508;310.26;964.612;-2.804;8.52;-0.004;890.568;1.104;-9.858;953.005;754.928;165.79;-9.858;171.019;63.03;14.357;63.1;201.77;61260680.0
2008;United Kingdom;420.333;124.906;-7.189;5.69;395.86;384.84;9.57;124.38;-1.739;-1.147;2343.32;310.5;944.661;-2.068;9.9;-6.25;834.904;2.657;-3.606;978.325;727.706;176.22;-3.606;141.529;52.49;14.447;74.481;198.3;61742152.0
2009;United Kingdom;346.695;121.961;-17.519;-2.358;375.94;373.08;10.72;103.04;-5.053;-7.882;2158.611;278.73;899.679;-4.762;9.19;-5.001;793.149;-6.755;-15.892;912.237;612.057;166.5;-15.892;185.173;69.1;14.6;86.232;176.04;62243384.0
2010;United Kingdom;354.809;126.231;2.34;3.501;381.57;378.91;12.26;107.59;2.12;3.073;2224.938;290.59;885.2;-1.609;7.35;-7.679;732.244;7.968;-5.4;984.928;579.009;175.65;-5.4;165.505;62.14;9.968;91.09;183.21;62760048.0
2011;United Kingdom;357.704;127.411;0.816;0.935;371.28;365.06;13.31;108.44;-5.621;-8.123;2044.2;260.88;867.311;-2.021;5.94;-17.454;604.439;-16.828;-20.411;819.185;460.825;146.5;-20.411;182.605;68.98;15.702;115.238;169.09;63286360.0
2012;United Kingdom;451.254;116.925;26.153;-8.231;372.75;360.89;14.73;142.79;1.604;0.982;2064.266;249.25;844.025;-2.685;6.29;-14.261;518.242;-6.128;-14.952;768.987;391.924;100.17;-14.952;185.246;70.4;14.557;130.1;175.21;63808728.0
2013;United Kingdom;434.925;88.093;-3.619;-24.658;369.81;355.38;18.1;130.26;-0.337;-2.066;2021.609;231.56;823.427;-2.44;5.46;-8.784;472.717;-0.745;-5.644;763.258;369.804;95.84;-5.644;184.658;70.61;12.814;165.329;163.12;64302296.0
2014;United Kingdom;351.194;80.533;-19.252;-8.581;355.73;335.21;22.62;100.24;-5.544;-7.246;1875.129;206.94;823.38;-0.006;5.81;-1.768;464.362;-8.215;1.22;700.555;374.315;100.89;1.22;165.722;63.75;15.951;199.261;142.36;64773504.0
2015;United Kingdom;277.323;59.486;-21.034;-26.135;356.45;335.34;28.47;75.88;1.589;-1.66;1843.994;182.43;846.217;2.774;6.67;13.424;526.696;2.841;8.628;720.455;406.612;99.88;8.628;181.783;70.34;16.958;249.922;124.17;65224368.0
2016;United Kingdom;141.172;31.712;-49.095;-46.691;354.03;336.28;30.06;30.67;-1.052;-1.364;1818.846;181.56;870.937;2.921;7.53;4.763;551.78;11.976;2.649;806.736;417.382;143.36;2.649;184.255;71.73;14.377;248.655;109.48;65655204.0
2017;United Kingdom;114.227;22.859;-19.087;-27.916;349.86;335.1;31.87;22.53;0.043;-2.015;1782.203;165.91;882.485;1.326;6.63;-1.716;542.311;-2.633;0.351;785.491;418.846;136.75;0.351;179.622;70.34;15.653;290.906;99.53;66064808.0
2018;United Kingdom;96.786;21.002;-15.268;-8.125;349.61;330.5;34.93;16.83;-0.408;-1.621;1753.308;155.41;870.861;-1.317;7.09;9.093;591.623;0.022;-2.974;785.66;406.39;131.49;-2.974;165.186;65.06;14.401;325.048;93.37;66432996.0
2019;United Kingdom;69.043;19.718;-28.665;-6.113;342.82;321.65;37.29;6.89;-2.092;-3.075;1699.401;144.99;853.575;-1.985;7.52;1.862;602.64;-1.13;-3.317;776.783;392.909;130.58;-3.317;142.116;56.18;15.639;355.085;85.61;66778660.0
2005;United States;6346.957;6455.162;1.47;1.458;4059.77;4034.99;54.28;2012.87;0.047;0.059;23512.965;2899.96;11214.078;0.145;126.13;-5.031;3593.534;-1.56;-2.717;5951.93;4894.408;760.96;-2.717;2261.768;781.99;762.893;1135.401;2140.76;296842656.0
2006;United States;6249.683;6623.418;-1.533;2.607;4065.36;4046.94;54.86;1990.51;-0.788;-1.389;23186.369;2878.56;11070.909;-1.277;71.61;-1.452;3541.373;-1.447;2.51;5865.778;5017.24;816.44;2.51;2262.581;787.22;812.488;1249.168;2112.2;299753088.0
2007;United States;6333.85;6540.789;1.347;-1.248;4173.82;4142.57;55.54;2016.46;1.37;1.685;23576.988;2988.24;11001.755;-0.625;75.19;0.155;3546.877;6.403;4.019;6241.383;5218.889;896.59;4.019;2303.296;806.42;687.236;1183.502;2174.72;302743392.0
2008;United States;6233.055;6640.64;-1.591;1.527;4140.35;4107.53;55.03;1985.8;-2.432;-3.314;22795.662;2924.21;10273.694;-6.618;55.43;-0.903;3514.844;0.762;4.633;6288.912;5460.674;882.98;4.633;2288.376;806.21;705.476;1321.477;2129.42;305694912.0
2009;United States;5482.376;6020.422;-12.044;-9.34;3973.87;3939.82;54.49;1755.9;-4.923;-6.14;21395.902;2725.41;9737.244;-5.222;48.53;6.738;3751.68;-1.791;2.109;6176.281;5575.825;920.98;2.109;2253.506;798.85;758.314;1456.122;1955.17;308512032.0
2010;United States;5800.542;6135.828;5.803;1.917;4139.92;4113.94;56.09;1847.29;3.371;3.635;22173.703;2882.49;9891.228;1.581;47.5;3.273;3874.478;4.949;3.152;6481.935;5751.574;987.7;3.152;2262.428;806.97;714.086;1515.733;2062.47;311182848.0
2011;United States;5473.071;6186.829;-5.646;0.831;4126.12;4088.87;56.67;1733.43;-0.87;-1.912;21749.736;2788.93;9694.557;-1.988;41.81;3.985;4028.887;1.545;7.337;6582.108;6173.585;1013.69;7.337;2201.92;790.2;871.998;1774.409;1979.51;313876608.0
2012;United States;4838.404;5756.809;-11.596;-6.951;4087.93;4040.67;57.62;1514.04;-2.636;-2.563;21192.219;2779.02;9472.587;-2.29;39.09;14.103;4597.08;4.544;5.146;6881.228;6491.248;1225.89;5.146;2130.764;769.33;751.373;1724.88;1901.0;316651328.0
2013;United States;5022.271;5568.713;3.8;-3.267;4113.49;4055.61;60.86;1581.11;2.714;2.491;21720.053;2746.21;9627.553;1.636;40.26;13.508;5218.059;2.747;1.012;7070.228;6556.927;1124.84;1.012;2172.121;789.02;726.46;1835.576;1908.65;319375168.0
2014;United States;5010.856;5647.896;-0.227;1.422;4149.22;4096.01;63.99;1581.71;1.043;0.952;21926.727;2752.01;9693.266;0.683;43.69;16.951;6102.553;2.155;7.478;7222.604;7047.265;1126.61;7.478;2181.415;797.17;692.853;1888.077;1914.11;322033952.0
2015;United States;4329.078;4996.507;-13.606;-11.533;4150.66;4083.99;63.63;1352.4;-0.959;-1.237;21655.59;2730.32;9890.718;2.037;44.44;8.085;6595.943;2.952;5.048;7435.795;7403.032;1333.48;5.048;2168.462;797.18;663.691;1922.98;1828.25;324607776.0
