Année;Pays;Consommation_charbon;Production_charbon;Variation_pct_consommation_charbon;Variation_pct_production_charbon;Demande_électricité;Production_électricité;Électricité_biocarburants;Électricité_charbon;Variation_pct_consommation_énergie;Variation_pct_consommation_fossile;Consommation_combustibles_fossiles;Électricité_fossile;Consommation_pétrole;Variation_pct_consommation_pétrole;Électricité_pétrole;Variation_pct_production_pétrole;Production_pétrole;Variation_pct_consommation_gaz;Variation_pct_production_gaz;Consommation_gaz;Production_gaz;Électricité_gaz;Variation_pct_production_gaz;Consommation_nucléaire;Électricité_nucléaire;Consommation_hydroélectrique;Consommation_renouvelables;Émissions_gaz_effet_de_serre;Population
2014;Canada;227.599;420.557;-4.904;-0.761;588.76;636.09;9.01;60.95;0.217;1.136;2600.671;122.75;1274.656;-0.239;4.27;7.352;2439.707;4.174;4.655;1098.415;1589.916;57.53;4.655;276.951;101.21;1036.234;1130.124;93.88;35404616.0
2015;Canada;228.959;379.017;0.598;-9.877;576.77;638.95;9.25;57.52;0.652;0.369;2610.263;125.7;1277.979;0.261;4.67;3.002;2512.946;0.447;1.11;1103.324;1607.557;63.51;1.11;261.261;96.05;1029.236;1162.338;94.35;35732120.0
2016;Canada;213.098;380.604;-6.928;0.419;581.08;644.88;10.63;58.29;-1.36;-2.748;2538.53;122.35;1273.506;-0.35;4.47;1.282;2545.167;-4.659;2.663;1051.926;1650.363;59.59;2.663;258.746;95.69;1031.817;1181.741;93.41;36113532.0
2017;Canada;221.605;369.538;3.992;-2.907;582.55;644.7;10.04;55.64;1.523;1.633;2579.988;113.7;1260.565;-1.016;3.62;8.124;2751.936;4.363;3.776;1097.818;1712.685;54.44;3.776;256.895;95.57;1050.112;1202.723;88.18;36554344.0
2018;Canada;181.723;339.416;-17.997;-8.151;587.68;635.89;9.74;46.75;0.903;2.499;2644.456;112.47;1300.689;3.183;3.55;8.926;2997.575;5.85;3.216;1162.044;1767.768;62.17;3.216;253.962;95.03;1020.97;1177.656;84.38;37035260.0
2019;Canada;170.179;334.607;-6.353;-1.417;580.91;627.92;9.45;43.89;-0.598;-0.317;2636.076;110.65;1297.276;-0.262;2.99;2.218;3064.065;0.566;-4.045;1168.621;1696.27;63.77;-4.045;254.196;95.47;1006.336;1161.445;82.22;37522584.0
2005;China;15405.105;14440.989;17.102;12.174;2494.08;2500.26;5.32;1980.15;13.604;13.734;19713.344;2042.8;3838.487;1.607;50.51;4.195;2109.134;17.485;18.958;469.751;497.08;12.14;18.958;145.871;53.09;1136.824;1167.95;1676.44;1304887552.0
2006;China;16918.381;15449.555;9.823;6.984;2858.84;2865.72;7.13;2302.42;9.612;9.636;21612.988;2364.16;4116.769;7.25;37.92;1.882;2148.825;23.009;18.721;577.838;590.136;23.82;18.721;149.745;54.84;1239.988;1285.634;1938.99;1313086592.0
2007;China;18423.912;16738.865;8.899;8.345;3271.23;3281.54;9.86;2656.7;8.681;8.492;23448.26;2718.7;4313.567;4.78;28.09;0.84;2166.881;23.007;18.252;710.779;697.847;33.91;18.252;168.582;62.13;1372.143;1432.453;2229.51;1321513216.0
2008;China;18715.92;17349.281;1.585;3.647;3482.96;3495.76;14.87;2708.91;3.871;2.111;23943.34;2762.29;4408.092;2.191;18.81;2.212;2214.813;15.272;15.973;819.329;809.317;34.57;15.973;184.426;68.39;1789.895;1891.234;2271.1;1330167168.0
